"1º tomada de medidas, tmedida = 30 s",,,,,,,,,,,,,
dt (ns),dsignal (ns),Ch1 -1,Ch1 – 2,Ch1 – 3,Média 1,Ch2 – 1,Ch2 – 2,Ch3 – 3,Média 2,ch4(and) – 1,ch4(and) – 2,ch4(and) – 3,Média 4
0,36,2511,2631,2580,2574,633,637,597,"622,333333333333",69,71,64,68
10,46,2609,2625,2623,2619,574,579,617,590,57,70,59,62
20,56,2528,2664,2612,"2601,33333333333",579,564,579,574,58,57,70,"61,6666666666667"
30,66,2662,2684,2602,"2649,33333333333",579,568,556,"567,666666666667",71,66,62,"66,3333333333333"
40,76,2624,2540,2567,2577,569,540,611,"573,333333333333",55,56,53,"54,6666666666667"
50,86,2541,2603,2609,"2584,33333333333",606,606,612,608,46,40,40,42
60,96,2584,2500,2443,2509,632,621,543,"598,666666666667",3,3,1,"2,33333333333333"
70,106,2435,2581,2447,"2487,66666666667",582,548,583,571,1,1,1,1
80,116,2524,2481,2501,2502,557,540,624,"573,666666666667",0,1,2,1
90,126,2547,2542,2455,"2514,66666666667",598,574,583,585,0,0,0,0
100,136,2451,2427,2538,2472,566,569,613,"582,666666666667",0,0,1,"0,333333333333333"
,,,,,,,,,,,,,
"2º tomada de medidas, tmedida = 30 s",,,,,,,,,,,,,
dt (ns),dsignal (ns),Ch1 -1,Ch1 – 2,Ch1 – 3,Média 1,Ch2 – 1,Ch2 – 2,Ch3 – 3,Média 2,ch4(and) – 1,ch4(and) – 2,ch4(and) – 3,Média 4
#VALEUR !,#VALEUR !,2476,2403,2504,2461,564,563,616,581,41,54,60,"51,6666666666667"
#VALEUR !,#VALEUR !,2569,2466,2337,"2457,33333333333",573,541,591,"568,333333333333",49,45,57,"50,3333333333333"
#VALEUR !,#VALEUR !,2444,2356,2480,"2426,66666666667",610,570,584,588,22,23,18,21
#VALEUR !,#VALEUR !,2510,2451,2334,"2431,66666666667",615,542,526,561,0,0,0,0
#VALEUR !,#VALEUR !,2451,2405,2424,"2426,66666666667",556,612,559,"575,666666666667",0,0,0,0
#VALEUR !,#VALEUR !,2384,2442,2414,"2413,33333333333",557,541,567,555,0,0,0,0
#VALEUR !,#VALEUR !,2425,2454,2446,"2441,66666666667",561,589,591,"580,333333333333",0,1,0,"0,333333333333333"
#VALEUR !,#VALEUR !,2478,2345,2444,"2422,33333333333",542,565,563,"556,666666666667",0,0,0,0
#VALEUR !,#VALEUR !,2358,2383,2349,"2363,33333333333",558,543,539,"546,666666666667",0,0,0,0
#VALEUR !,#VALEUR !,2312,2366,2344,"2340,66666666667",551,604,574,"576,333333333333",0,0,0,0
